Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;1;Для лица;Гель очищающий минеральный для чувствительной нормальной/жирной кожи;Barbados Mineral Cleansing Gel ;200;;Anna lotan;Barbados;254600;356400;;163;;;;;;
;2;Для лица;Очищающая пенка;Barbados Foam Purifying Cleanse;125;;Anna lotan;Barbados;321100;449500;;129;;;;;;
;3;Для лица;Гидрофильное масло;Purifying Hydrophilic Cleanser;50;;Anna lotan;Barbados;216600;303200;;080;;;;;;
;4;Для лица;Гидрофильное масло;Purifying Hydrophilic Cleanser;200;3;Anna lotan;Barbados;285000;399000;;035;;;;;;
;5;Для лица;Лосьон для чувствительной нормальной/жирной кожи лица ;Facial Toner for delicate normal to oily skin;200;;Anna lotan;Barbados;209000;292600;;020;;;;;;
;6;Для лица;Лосьон для чувствительной нормальной/жирной кожи лица ;Facial Toner for delicate normal to oily skin;500;5;Anna lotan;Barbados;288800;404300;;4020;;;;;;
;7;Для лица;Био-тоник;Bio Toner;100;;Anna lotan;Barbados;319200;446900;;051;;;;;;
;8;Для лица;"Натуральный отшелушивающий гель для деликатной кожи ""СКАЛЕКС"" ";Scalex;40;;Anna lotan;Barbados;459800;643700;;073;;;;;;
;9;Для лица;Крем для жирной кожи;BARBADOS Delicate Oily Skin Balm;70;;Anna lotan;Barbados;326800;457500;;078;;;;;;
;10;Для лица;Бальзам для чувствительной кожи;Barbados Naturally Preserved Pure Balm;50;;Anna lotan;Barbados;391400;548000;;144;;;;;;
;11;Для лица;Бальзам для чувствительной кожи;Barbados Naturally Preserved Pure Balm;150;10;Anna lotan;Barbados;782800;1095900;;4144;;;;;;
;12;Для лица;Успокаивающий гель на цветочных экстрактах;Calmessence Soothing Fluid Gel;50;;Anna lotan;Barbados;292600;409600;;030;;;;;;
;13;Для лица;Успокаивающий гель на цветочных экстрактах;Calmessence Soothing Fluid Gel;100;12;Anna lotan;Barbados;471200;659700;;4030;;;;;;
;14;Для лица;Увлажняющий крем-мусс;Calming Whipped Cream;75;;Anna lotan;Barbados;292600;409600;;792;;;;;;
;15;Для лица;Увлажняющий крем-мусс;Calming Whipped Cream;100;14;Anna lotan;Barbados;395200;553300;;4792;;;;;;
;16;Для лица;Эмульсия для локального нанесения;Barbados Ointment;40;;Anna lotan;Barbados;275500;385700;;079;;;;;;
;17;Для лица;Маска Барбадос;Barbados Soothing Mask;70;;Anna lotan;Barbados;317300;444200;;246;;;;;;
;18;Для лица;Солнцезащитный крем с SPF19 для жирной кожи и нормальной кожи;Protective Daily Moisturizer SPF19;70;;Anna lotan;Barbados;209000;292600;;068;;;;;;
;19;Для лица;Крем защитный с SPF20;Barbados Natural Sunscreen Lotion SPF 20;50;;Anna lotan;Barbados;285000;399000;;090;;;;;;
;20;Для лица;Кондиционер для кожи головы;Scalp Soothing Leave-On Conditioner;200;;Anna lotan;Barbados;266000;372400;;066;;;;;;
;21;Для лица;Жидкое минеральное мыло для жирной  и проблемной кожи;CLEAR Mineral Liquid Soap;200;;Anna lotan;A-CLEAR ;199500;279300;;023;;;;;;
;22;Для лица;Прополисный лосьон для жирной/проблемной кожи лица;Propolis Lotion;200;;Anna lotan;A-CLEAR ;233700;327200;;013;;;;;;
;23;Для лица;"Сыворотка ""Сальвиталь""";Salvital Bio-Peel;125;;Anna lotan;A-CLEAR ;340100;476100;;086;;;;;;
;24;Для лица;"Кристаллический пилинг ""Ананас""";Ananas Crystal Peeling;60;;Anna lotan;A-CLEAR ;292600;409600;;096;;;;;;
;25;Для лица;"Крем-гель ""Балансер"" для жирной проблемной кожи";A-Clear  Balancer moisturizing emulsion;70;;Anna lotan;A-CLEAR ;226100;316500;;047;;;;;;
;26;Для лица;"Маска ""Провит"" для жирной проблемной кожи";Provit Cream Mask;40;;Anna lotan;A-CLEAR ;237500;332500;;153;;;;;;
;27;Для лица;Растительный подсушивающий лосьон для жирной кожи;Herbal Drying Lotion;30;;Anna lotan;A-CLEAR ;195700;274000;;010;;;;;;
;28;Для лица;Растительный подсушивающий лосьон для жирной кожи;Herbal Drying Lotion;30;27;Anna lotan;A-CLEAR ;195700;274000;;717;;;;;;
;29;Для лица;Стягивающая маска;Astringent Mud Mask ;60;;Anna lotan;A-CLEAR ;216600;303200;;092;;;;;;
;30;Для лица;Активизирующая маска с натуральной грязью Мёртвого Моря серии Black Silt; Black Pearl Activating Mask with natural Dead Sea mud;90;;Anna lotan;A-CLEAR ;250800;351100;;767;;;;;;
;31;Для лица;Очищающая пена;Nano-In Foam Purifying Cleansing;50;;Anna lotan; CLEAR;209000;292600;;mal 803;;;;;;
;32;Для лица;Очищающая пена;Nano-In Foam Purifying Cleansing;150;31;Anna lotan; CLEAR;285000;399000;;803;;;;;;
;33;Для лица;Минеральный скраб;PEELING;100;;Anna lotan; CLEAR;480700;673000;;809;;;;;;
;34;Для лица;Пилинг бустер с АНА-16;BOOSTER Professional Peeling Intenifier AHA 16;125;;Anna lotan; CLEAR;480700;673000;;808;;;;;;
;35;Для лица;Балансирующая увлажняющая маска;MASK;100;;Anna lotan; CLEAR;391400;548000;;805;;;;;;
;36;Для лица;"Гель для поддержания гигиены жирной кожи ""Точечный уход""";Nano-In Clear  Dry Touch;50;;Anna lotan; CLEAR;269800;377700;;806;;;;;;
;37;Для лица;Обезжиренный солнцезащитный гель Оил Фри с SPF32;PROTECTOR Oil Free Sunscreen Gel SPF32;50;;Anna lotan; CLEAR;463600;649000;;804;;;;;;
;38;Для лица;Эмульсия очищающая;Alodem Calendula Cleansing Emulsion;200;;Anna lotan;ALODEM;285000;399000;;277 ;;;;;;
;39;Для лица;Тоник для лица;Alodem Facial Mist;200;;Anna lotan;ALODEM;319200;446900;;170 ;;;;;;
