N по каталогу;Название товара рус;Название товара eng;;Бренд;Линия;;Для лица;Для тела;Для волос;Маникюр;Педикюр;Депиляция;Аксессуары;Для жирной кожи;для сухой кожи;для возрастной кожи;для чувствительной кожи;для комбинированной кожи;для деликатной;для нормальной;для проблемной кожи; Дневной;ночной;увлажнение;питание;очистка;омоложение;против морщин;отшелушивание;пилинг;скраб;смягчающее;успокаивающее
1;Гель очищающий минеральный для чувствительной нормальной/жирной кожи;Barbados Mineral Cleansing Gel ;;Anna lotan;Barbados;;1;;;;;;;1;;;1;;;1;;;;;;;;;;;;;
2;Очищающая пенка;Barbados Foam Purifying Cleanse;;Anna lotan;Barbados;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;
3;Гидрофильное масло;Purifying Hydrophilic Cleanser;;Anna lotan;Barbados;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;
4;Гидрофильное масло;Purifying Hydrophilic Cleanser;;Anna lotan;Barbados;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;
5;Лосьон для чувствительной нормальной/жирной кожи лица ;Facial Toner for delicate normal to oily skin;;Anna lotan;Barbados;;1;;;;;;;1;;;1;1;;1;;;;;;;;;;;;;
6;Лосьон для чувствительной нормальной/жирной кожи лица ;Facial Toner for delicate normal to oily skin;;Anna lotan;Barbados;;1;;;;;;;1;;;1;1;;1;;;;;;;;;;;;;
7;Био-тоник;Bio Toner;;Anna lotan;Barbados;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
8;"Натуральный отшелушивающий гель для деликатной кожи ""СКАЛЕКС"" ";Scalex;;Anna lotan;Barbados;;1;;;;;;;1;;;;;1;;;;;;;;;;;1;;;
9;Крем для жирной кожи;BARBADOS Delicate Oily Skin Balm;;Anna lotan;Barbados;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
10;Бальзам для чувствительной кожи;Barbados Naturally Preserved Pure Balm;;Anna lotan;Barbados;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;1
11;Бальзам для чувствительной кожи;Barbados Naturally Preserved Pure Balm;;Anna lotan;Barbados;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;1
12;Успокаивающий гель на цветочных экстрактах;Calmessence Soothing Fluid Gel;;Anna lotan;Barbados;;1;;;;;;;;;;;;1;;;;;1;;;;;;;;;1
13;Успокаивающий гель на цветочных экстрактах;Calmessence Soothing Fluid Gel;;Anna lotan;Barbados;;1;;;;;;;;;;;;1;;;;;1;;;;;;;;;1
